"","500","1000","2000","5000","10000","20000"
"4201_rbf","0.09(0.1475)","0.1097(0.1127)","0.0533(0.0684)","0.1121(0.116)","0.1246(0.0645)","0.1129(0.0352)"
"4201_lkflag","0.0132(0.0327)","0.1582(0.2415)","0.0704(0.0997)","0.176(0.1812)","0.151(0.088)","0.1496(0.0447)"
"4202_rbf","0.0318(0.0557)","0.056(0.0547)","0.0477(0.0686)","0.0495(0.0304)","0.0898(0.0389)","0.0906(0.0277)"
"4202_lkflag","0.014(0.0226)","0.0283(0.0269)","0.0384(0.0695)","0.0489(0.0291)","0.089(0.0468)","0.0839(0.0313)"
"5001_rbf","0.0274(0.0202)","0.0337(0.0111)","0.0354(0.0086)","0.0288(0.0051)","0.034(0.0037)","0.0292(0.0026)"
"5001_lkflag","0.0156(0.0124)","0.0262(0.0118)","0.0315(0.0113)","0.0249(0.0029)","0.031(0.0052)","0.0276(0.0024)"
"5002_rbf","0.0219(0.0158)","0.019(0.0066)","0.0166(0.0048)","0.0205(0.0024)","0.0201(0.0043)","0.0203(0.003)"
"5002_lkflag","0.0147(0.0148)","0.019(0.0076)","0.016(0.0063)","0.0205(0.0048)","0.0213(0.0036)","0.0204(0.0026)"
"5011_rbf","0.0552(0.0447)","0.0296(0.0195)","0.0275(0.0159)","0.0354(0.0201)","0.033(0.0077)","0.0334(0.0065)"
"5011_lkflag","0.0216(0.0289)","0.0196(0.0131)","0.0214(0.0087)","0.0292(0.0149)","0.0283(0.0045)","0.0295(0.0056)"
"5012_rbf","0.0123(0.0146)","0.0096(0.0055)","0.0087(0.0021)","0.0088(0.0028)","0.0089(0.0015)","0.0097(0.0016)"
"5012_lkflag","0.0171(0.0319)","0.0082(0.0047)","0.0099(0.0028)","0.0101(0.0023)","0.0102(0.002)","0.0105(0.0017)"
"5021_rbf","0.0453(0.0341)","0.0622(0.0363)","0.0479(0.0257)","0.0588(0.0165)","0.0567(0.011)","0.0576(0.0063)"
"5021_lkflag","0.0293(0.0298)","0.041(0.0205)","0.036(0.0093)","0.0479(0.0121)","0.048(0.0084)","0.0488(0.0065)"
"5022_rbf","0.0411(0.0351)","0.0361(0.0333)","0.0321(0.0119)","0.0304(0.0082)","0.0325(0.0046)","0.0312(0.0037)"
"5022_lkflag","0.0205(0.0152)","0.0311(0.0277)","0.0262(0.0137)","0.027(0.0059)","0.0306(0.0051)","0.029(0.0033)"
"5101_rbf","0.0282(0.0408)","0.0272(0.0272)","0.0244(0.0093)","0.0232(0.0071)","0.0256(0.004)","0.0254(0.0041)"
"5101_lkflag","0.0116(0.0118)","0.0263(0.0259)","0.021(0.0072)","0.0206(0.0067)","0.0238(0.0043)","0.0244(0.0054)"
"5102_rbf","0.01(0.0092)","0.0072(0.0074)","0.0095(0.0039)","0.0081(0.002)","0.0086(0.0011)","0.0099(7e-04)"
"5102_lkflag","0.0144(0.0159)","0.0093(0.0043)","0.01(0.0018)","0.0083(0.002)","0.0089(0.0013)","0.0092(0.001)"
"5201_rbf","0.0175(0.0075)","0.0189(0.0072)","0.0147(0.0032)","0.0157(0.0049)","0.0152(0.002)","0.0144(0.0021)"
"5201_lkflag","0.0117(0.0045)","0.0119(0.0039)","0.0125(0.0027)","0.0141(0.004)","0.0142(0.0018)","0.0142(0.0024)"
"5202_rbf","0.0105(0.0092)","0.0097(0.0051)","0.0133(0.0034)","0.0142(0.0031)","0.0127(0.0015)","0.0122(0.0016)"
