"","5000","10000","15000","20000","25000","30000"
"5021_lkflag","0.0047(0.0017)","0.0078(0.0021)","0.0095(0.0016)","0.0102(0.001)","0.0111(0.0012)","0.0113(0.0012)"
"5022_rbf","0.0117(0.0028)","0.0137(0.0036)","0.0128(0.0017)","0.013(0.0013)","0.0111(0.0011)","0.0108(0.0015)"
"5022_lkflag","0.0033(0.0015)","0.0068(0.0011)","0.0081(0.0012)","0.0093(0.001)","0.0086(9e-04)","0.0095(0.0013)"
"5101_rbf","0.0049(0.002)","0.0043(9e-04)","0.0035(5e-04)","0.0035(9e-04)","0.0032(5e-04)","0.003(6e-04)"
"5101_lkflag","0.0019(9e-04)","0.0037(8e-04)","0.0038(5e-04)","0.0043(6e-04)","0.0049(4e-04)","0.0048(9e-04)"
"5102_rbf","0.0055(0.0013)","0.0048(5e-04)","0.0046(7e-04)","0.0041(9e-04)","0.0048(0.0011)","0.0041(5e-04)"
"5102_lkflag","0.0021(6e-04)","0.0039(7e-04)","0.0043(0.001)","0.0046(3e-04)","0.005(9e-04)","0.0049(7e-04)"
"5201_rbf","0.0046(7e-04)","0.0044(7e-04)","0.0039(4e-04)","0.0039(2e-04)","0.0037(4e-04)","0.0038(3e-04)"
"5201_lkflag","0.0011(3e-04)","0.0025(5e-04)","0.0027(4e-04)","0.0029(2e-04)","0.003(3e-04)","0.0031(3e-04)"
"5202_rbf","0.0036(0.0012)","0.0033(8e-04)","0.0033(4e-04)","0.0032(3e-04)","0.003(4e-04)","0.003(3e-04)"
"5202_lkflag","0.001(2e-04)","0.0021(3e-04)","0.0025(3e-04)","0.0026(3e-04)","0.0028(3e-04)","0.0029(2e-04)"
"5301_rbf","0.0054(0.0012)","0.0048(9e-04)","0.0044(9e-04)","0.0036(6e-04)","0.0039(6e-04)","0.0037(5e-04)"
"5301_lkflag","0.0025(8e-04)","0.0037(6e-04)","0.0045(7e-04)","0.0044(6e-04)","0.0044(5e-04)","0.0049(3e-04)"
"5302_rbf","0.0039(0.001)","0.0047(0.0015)","0.0032(7e-04)","0.003(5e-04)","0.0029(4e-04)","0.003(3e-04)"
"5302_lkflag","0.0011(3e-04)","0.0037(0.001)","0.0036(7e-04)","0.0041(7e-04)","0.0043(5e-04)","0.0043(7e-04)"
"5401_rbf","0.0127(0.0033)","0.0129(0.0014)","0.0128(0.0023)","0.0127(0.0012)","0.0123(0.0019)","0.0122(0.001)"
"5401_lkflag","0.0041(9e-04)","0.0096(0.0014)","0.0104(0.0014)","0.0105(7e-04)","0.0104(0.001)","0.0116(9e-04)"
"5402_rbf","0.0143(0.0035)","0.0157(0.0025)","0.017(0.003)","0.0165(0.0019)","0.0162(0.0011)","0.0166(0.0022)"
"5402_lkflag","0.0042(0.0014)","0.0106(0.0023)","0.0134(0.0027)","0.0135(0.0011)","0.0146(0.0011)","0.015(9e-04)"
"6001_rbf","0.0029(8e-04)","0.0031(4e-04)","0.0029(3e-04)","0.0027(2e-04)","0.0026(2e-04)","0.0027(2e-04)"
"6001_lkflag","9e-04(2e-04)","0.0017(2e-04)","0.0019(1e-04)","0.002(2e-04)","0.002(1e-04)","0.0021(1e-04)"
