"","500","1000","2000","5000","10000","20000"
"4022_lkflag","0.012(0.0241)","0.1039(0.1815)","0.1314(0.1163)","0.0638(0.0371)","0.1077(0.0696)","0.0931(0.0313)"
"4101_rbf","0.1721(0.207)","0.0852(0.1094)","0.0607(0.0387)","0.0911(0.0292)","0.085(0.0282)","0.0685(0.0148)"
"4101_lkflag","0.0831(0.1133)","0.0572(0.0887)","0.0621(0.0345)","0.0829(0.0275)","0.0837(0.0272)","0.0674(0.0146)"
"4102_rbf","0.0416(0.0346)","0.0601(0.0381)","0.0744(0.0371)","0.0639(0.021)","0.05(0.0113)","0.0603(0.0097)"
"4102_lkflag","0.033(0.028)","0.0446(0.0295)","0.0675(0.0335)","0.0647(0.0251)","0.0537(0.0128)","0.0639(0.0128)"
"4111_rbf","0.0634(0.0751)","0.0201(0.0188)","0.0345(0.0311)","0.0547(0.0291)","0.0473(0.0131)","0.0417(0.0112)"
"4111_lkflag","0.0402(0.0364)","0.0268(0.034)","0.0328(0.0287)","0.0567(0.0205)","0.0445(0.0115)","0.0422(0.0097)"
"4112_rbf","0.052(0.0563)","0.0517(0.0398)","0.0383(0.0185)","0.0392(0.0124)","0.0391(0.0109)","0.0416(0.0046)"
"4112_lkflag","0.0331(0.0384)","0.0413(0.0339)","0.0342(0.0132)","0.0392(0.014)","0.0417(0.0142)","0.0401(0.0052)"
"4201_rbf","0.0553(0.1272)","0.0853(0.1409)","0.1497(0.189)","0.1857(0.1233)","0.1809(0.0571)","0.1954(0.0435)"
"4201_lkflag","0.011(0.033)","0.0595(0.0939)","0.1147(0.1374)","0.1554(0.1295)","0.1634(0.0448)","0.1734(0.0397)"
"4202_rbf","0.019(0.046)","0.0625(0.1325)","0.0111(0.0129)","0.0246(0.0253)","0.0284(0.009)","0.0274(0.0108)"
"4202_lkflag","0.0121(0.023)","0.0318(0.0691)","0.0115(0.0126)","0.0229(0.0178)","0.0258(0.0072)","0.0264(0.0084)"
"5001_rbf","0.1719(0.1347)","0.1158(0.0723)","0.1232(0.044)","0.116(0.0226)","0.1148(0.0359)","0.1138(0.0101)"
"5001_lkflag","0.0761(0.0718)","0.0644(0.0318)","0.0781(0.027)","0.0791(0.0175)","0.0848(0.029)","0.0897(0.0067)"
"5002_rbf","0.0522(0.0404)","0.0507(0.0377)","0.0336(0.0094)","0.0361(0.007)","0.0361(0.0052)","0.0372(0.0035)"
"5002_lkflag","0.0379(0.0263)","0.035(0.0248)","0.0284(0.0075)","0.0299(0.0066)","0.0329(0.0054)","0.0369(0.0037)"
"5011_rbf","0.0373(0.0189)","0.0386(0.0163)","0.0403(0.0159)","0.0478(0.0116)","0.0406(0.0051)","0.0431(0.0038)"
"5011_lkflag","0.0263(0.0207)","0.0418(0.019)","0.0358(0.0156)","0.0459(0.0154)","0.0411(0.0076)","0.043(0.0044)"
"5012_rbf","0.0232(0.0243)","0.0283(0.0119)","0.0311(0.0078)","0.0356(0.0083)","0.0332(0.0066)","0.0342(0.0045)"
"5012_lkflag","0.0255(0.0375)","0.0287(0.0137)","0.0278(0.0066)","0.035(0.0079)","0.0339(0.0071)","0.034(0.0048)"
"5021_rbf","0.1295(0.0572)","0.1386(0.0882)","0.1011(0.0535)","0.1328(0.0272)","0.1196(0.022)","0.1231(0.0198)"
"5021_lkflag","0.0528(0.0279)","0.076(0.0591)","0.0746(0.0327)","0.0887(0.0197)","0.0905(0.0147)","0.0974(0.0168)"
"5022_rbf","0.071(0.0495)","0.0803(0.0336)","0.081(0.0321)","0.0802(0.0177)","0.0898(0.0101)","0.076(0.0107)"
"5022_lkflag","0.037(0.0396)","0.0543(0.0203)","0.0526(0.0222)","0.0555(0.0148)","0.0668(0.0084)","0.0579(0.0091)"
"5101_rbf","0.0495(0.0373)","0.0457(0.0138)","0.0577(0.0174)","0.0554(0.0238)","0.053(0.0087)","0.0532(0.004)"
"5101_lkflag","0.0342(0.0326)","0.0426(0.0188)","0.0534(0.015)","0.0505(0.0167)","0.0527(0.0074)","0.0542(0.0043)"
"5102_rbf","0.0389(0.0332)","0.0453(0.0306)","0.0479(0.0202)","0.056(0.0217)","0.0565(0.0173)","0.0504(0.0078)"
"5102_lkflag","0.0144(0.0165)","0.0302(0.0191)","0.0341(0.0172)","0.0429(0.0135)","0.0459(0.0138)","0.042(0.0079)"
"5201_rbf","0.0505(0.037)","0.054(0.0239)","0.049(0.0072)","0.0544(0.0052)","0.0516(0.0047)","0.0541(0.0031)"
"5201_lkflag","0.0198(0.0111)","0.0415(0.0174)","0.0418(0.0082)","0.0484(0.0062)","0.0458(0.0043)","0.0494(0.0039)"
"5202_rbf","0.0343(0.018)","0.0307(0.0118)","0.0312(0.0119)","0.0387(0.0096)","0.0418(0.0047)","0.0415(0.0039)"
"5202_lkflag","0.0269(0.0126)","0.0267(0.0075)","0.0387(0.0106)","0.0408(0.006)","0.0457(0.006)","0.0449(0.0036)"
"5301_rbf","0.0836(0.1375)","0.0687(0.0489)","0.0736(0.0491)","0.0685(0.0197)","0.0673(0.0103)","0.06(0.0074)"
