"","5000","10000","15000","20000","25000","30000"
"4111_rbf","0.026(0.0081)","0.0212(0.0067)","0.0201(0.003)","0.019(0.0047)","0.018(0.0024)","0.0161(0.0032)"
"4111_lkflag","0.0103(0.0046)","0.0168(0.0041)","0.0191(0.0031)","0.0197(0.004)","0.0229(0.0032)","0.0227(0.004)"
"4112_rbf","0.0223(0.0069)","0.0195(0.0037)","0.022(0.0034)","0.0213(0.0051)","0.0203(0.0033)","0.0187(0.0028)"
"4112_lkflag","0.008(0.0034)","0.019(0.0042)","0.0221(0.0043)","0.0221(0.0021)","0.0224(0.0031)","0.0223(0.0029)"
"4201_rbf","0.017(0.0175)","0.0149(0.0075)","0.0156(0.0074)","0.016(0.0064)","0.0137(0.0037)","0.0125(0.0025)"
"4201_lkflag","0.0173(0.0281)","0.022(0.01)","0.0481(0.0197)","0.0492(0.0183)","0.0547(0.0145)","0.0479(0.0088)"
"4202_rbf","0.0125(0.0157)","0.0123(0.0102)","0.0105(0.0046)","0.0096(0.0043)","0.0092(0.0033)","0.0089(0.0038)"
"4202_lkflag","0.0132(0.0165)","0.0177(0.0138)","0.0177(0.007)","0.0202(0.0086)","0.0208(0.0033)","0.0214(0.0081)"
"5001_rbf","0.015(0.0033)","0.0131(0.0029)","0.0126(0.0025)","0.0127(0.0014)","0.0133(9e-04)","0.0119(0.0011)"
"5001_lkflag","0.0046(0.0014)","0.0095(0.0022)","0.0109(0.0023)","0.0112(0.0014)","0.0124(9e-04)","0.0129(0.0015)"
"5002_rbf","0.0088(0.0026)","0.0081(0.0014)","0.0081(0.0012)","0.0068(0.001)","0.0068(9e-04)","0.0066(9e-04)"
"5002_lkflag","0.0024(0.0015)","0.0045(9e-04)","0.0052(8e-04)","0.0054(6e-04)","0.0057(5e-04)","0.0057(4e-04)"
"5011_rbf","0.0186(0.0048)","0.0146(0.0031)","0.0122(0.002)","0.0119(0.0019)","0.0113(0.0015)","0.0106(0.0012)"
"5011_lkflag","0.0061(0.0037)","0.012(0.0047)","0.0126(0.0029)","0.0162(0.0051)","0.0158(0.003)","0.0161(0.0022)"
"5012_rbf","0.0197(0.0052)","0.0162(0.0043)","0.0135(0.0042)","0.0132(0.002)","0.0129(0.0031)","0.0107(0.0017)"
"5012_lkflag","0.0065(0.0039)","0.0097(0.0023)","0.0122(0.0015)","0.0132(0.0024)","0.0142(0.0024)","0.0147(0.0014)"
"5021_rbf","0.022(0.003)","0.0204(0.0033)","0.0188(0.0027)","0.0185(0.0027)","0.0193(0.0017)","0.0174(0.0018)"
"5021_lkflag","0.0085(0.0029)","0.014(0.0017)","0.0154(0.003)","0.0178(0.0024)","0.0172(0.001)","0.0175(0.0014)"
"5022_rbf","0.0121(0.0025)","0.0137(0.0023)","0.0125(9e-04)","0.0118(0.0016)","0.012(0.0015)","0.0119(0.0013)"
"5022_lkflag","0.0051(0.0023)","0.0088(0.0026)","0.0104(9e-04)","0.0106(0.0013)","0.0117(7e-04)","0.0118(7e-04)"
"5101_rbf","0.0239(0.0086)","0.0194(0.0048)","0.0158(0.0033)","0.0159(0.0028)","0.0166(0.0032)","0.0148(0.003)"
"5101_lkflag","0.0071(0.0029)","0.0146(0.0035)","0.0153(0.0032)","0.0204(0.0039)","0.0219(0.0041)","0.0209(0.0045)"
"5102_rbf","0.0107(0.0025)","0.0094(0.0028)","0.0081(0.002)","0.008(0.001)","0.0078(9e-04)","0.0074(0.001)"
"5102_lkflag","0.0024(0.0011)","0.0051(0.001)","0.0071(0.0016)","0.0083(0.001)","0.0077(0.001)","0.0077(0.001)"
"5201_rbf","0.0145(0.0043)","0.0125(0.002)","0.0118(0.0013)","0.0111(0.0018)","0.0111(0.0017)","0.0107(0.0011)"
"5201_lkflag","0.0036(0.001)","0.0062(9e-04)","0.0087(0.0015)","0.0089(0.0011)","0.0094(0.0013)","0.0096(0.0015)"
"5202_rbf","0.0061(0.0014)","0.0056(0.0015)","0.0051(8e-04)","0.0049(7e-04)","0.0045(5e-04)","0.0047(5e-04)"
"5202_lkflag","0.0016(6e-04)","0.0031(9e-04)","0.0038(6e-04)","0.0042(7e-04)","0.004(4e-04)","0.0045(3e-04)"
"5301_rbf","0.0047(0.0022)","0.0048(0.0017)","0.0044(8e-04)","0.0045(6e-04)","0.004(8e-04)","0.0038(8e-04)"
"5301_lkflag","0.0022(0.001)","0.0041(0.001)","0.0048(0.001)","0.0046(8e-04)","0.0052(6e-04)","0.0051(7e-04)"
"5302_rbf","0.0039(0.0013)","0.0031(9e-04)","0.0029(7e-04)","0.0027(9e-04)","0.0028(5e-04)","0.003(4e-04)"
"5302_lkflag","0.002(9e-04)","0.0034(0.0011)","0.0041(5e-04)","0.0043(5e-04)","0.0044(7e-04)","0.0052(6e-04)"
"5401_rbf","0.0232(0.0061)","0.0216(0.0043)","0.0237(0.0054)","0.022(0.0028)","0.0219(0.0017)","0.0212(0.0023)"
"5401_lkflag","0.0083(0.0019)","0.0148(0.0026)","0.0179(0.0031)","0.0204(0.0022)","0.0203(0.0015)","0.0205(0.0021)"
"5402_rbf","0.0137(0.0029)","0.0141(0.0023)","0.0137(0.0022)","0.0139(0.0014)","0.0139(0.0018)","0.0133(0.0014)"
"5402_lkflag","0.0049(0.0013)","0.009(0.0016)","0.0106(0.0012)","0.0108(0.0014)","0.0119(9e-04)","0.0114(0.001)"
"6001_rbf","0.0078(0.0022)","0.0067(0.0014)","0.006(0.0011)","0.006(0.0012)","0.0057(9e-04)","0.0053(6e-04)"
"6001_lkflag","0.002(5e-04)","0.0041(0.0012)","0.0043(9e-04)","0.0045(8e-04)","0.0048(5e-04)","0.0051(7e-04)"
"6002_rbf","0.0063(0.0016)","0.0061(0.0014)","0.0053(9e-04)","0.0054(5e-04)","0.0055(5e-04)","0.0046(6e-04)"
"6002_lkflag","0.0021(8e-04)","0.0041(7e-04)","0.0045(7e-04)","0.0049(6e-04)","0.0053(4e-04)","0.0048(7e-04)"
"6101_rbf","0.0186(0.0063)","0.0156(0.0035)","0.014(0.0023)","0.0142(0.0029)","0.0127(0.0028)","0.0125(0.0015)"
"6101_lkflag","0.0054(0.0023)","0.0122(0.0041)","0.0129(0.0022)","0.0135(0.0031)","0.0141(0.002)","0.0146(0.0018)"
"6102_rbf","0.0197(0.0047)","0.0153(0.0038)","0.0126(0.0018)","0.0129(0.0024)","0.0107(0.002)","0.0101(0.0021)"
"6102_lkflag","0.0065(0.0029)","0.009(0.0015)","0.0104(0.0014)","0.0127(0.0018)","0.013(0.0017)","0.0125(0.0014)"
"6201_rbf","0.0337(0.012)","0.0318(0.0037)","0.0285(0.0046)","0.0238(0.0042)","0.0251(0.0033)","0.0255(0.0027)"
"6201_lkflag","0.0076(0.0026)","0.016(0.0035)","0.0187(0.0022)","0.0185(0.001)","0.02(0.0026)","0.0204(0.0016)"
"6202_rbf","0.0196(0.0062)","0.0189(0.0038)","0.0155(0.0028)","0.0182(0.0042)","0.0161(0.0027)","0.015(0.0018)"
"6202_lkflag","0.0068(0.0026)","0.0132(0.0023)","0.0127(0.0016)","0.0153(0.0024)","0.0174(0.002)","0.0159(0.0017)"
"6211_rbf","0.009(0.0018)","0.007(0.0016)","0.0062(6e-04)","0.0058(8e-04)","0.0058(4e-04)","0.0053(7e-04)"
"6211_lkflag","0.0029(0.0011)","0.005(0.001)","0.0057(9e-04)","0.0066(7e-04)","0.0067(6e-04)","0.0065(5e-04)"
"6212_rbf","0.0063(0.0016)","0.006(0.0015)","0.0051(8e-04)","0.0055(7e-04)","0.0049(7e-04)","0.0045(4e-04)"
"6212_lkflag","0.0024(8e-04)","0.0054(0.0012)","0.0047(8e-04)","0.0059(0.001)","0.0057(8e-04)","0.0057(6e-04)"
"6221_rbf","0.0192(0.0059)","0.0162(0.0027)","0.012(0.0027)","0.0129(0.003)","0.0125(0.0021)","0.0104(0.002)"
"6221_lkflag","0.0061(0.0032)","0.0136(0.0059)","0.014(0.004)","0.0162(0.0017)","0.0165(0.0039)","0.0163(0.003)"
"6222_rbf","0.0112(0.0024)","0.0096(0.003)","0.0089(0.0013)","0.0077(0.0012)","0.0079(0.0011)","0.007(0.0013)"
"6222_lkflag","0.0033(0.0011)","0.0077(0.0032)","0.0085(0.0016)","0.009(0.0016)","0.0095(0.0012)","0.0091(0.0015)"
"6301_rbf","0.0267(0.0049)","0.0318(0.0039)","0.026(0.0018)","0.0279(0.0026)","0.0251(0.0016)","0.025(0.0017)"
"6301_lkflag","0.0067(0.0015)","0.0153(0.0018)","0.0173(0.002)","0.0189(0.0019)","0.0197(0.0016)","0.0194(0.0014)"
"6302_rbf","0.0185(0.0038)","0.0145(0.0028)","0.0143(0.0015)","0.014(0.001)","0.0143(0.0012)","0.013(0.0016)"
"6302_lkflag","0.0054(9e-04)","0.0099(0.0016)","0.0112(0.0011)","0.0118(0.0011)","0.0125(0.001)","0.013(0.0016)"
"6401_rbf","0.0038(7e-04)","0.0027(8e-04)","0.0028(3e-04)","0.0027(7e-04)","0.0024(4e-04)","0.0024(3e-04)"
"6401_lkflag","0.0014(6e-04)","0.0025(7e-04)","0.0028(6e-04)","0.0032(3e-04)","0.0034(5e-04)","0.0035(3e-04)"
"6402_rbf","0.0029(7e-04)","0.0031(5e-04)","0.0023(6e-04)","0.0021(6e-04)","0.0023(5e-04)","0.0023(5e-04)"
"6402_lkflag","0.0014(9e-04)","0.0033(9e-04)","0.0031(8e-04)","0.0031(6e-04)","0.0036(8e-04)","0.0041(7e-04)"
"7001_rbf","0.0378(0.0134)","0.0411(0.0101)","0.0328(0.0047)","0.0294(0.0029)","0.0248(0.0042)","0.024(0.004)"
"7001_lkflag","0.0184(0.0034)","0.0294(0.0069)","0.0354(0.0071)","0.037(0.0056)","0.0341(0.0033)","0.0386(0.0038)"
"7002_rbf","0.0258(0.0124)","0.0255(0.0053)","0.0218(0.0054)","0.0251(0.0036)","0.0204(0.0019)","0.0226(0.0034)"
"7002_lkflag","0.0123(0.0077)","0.0232(0.0069)","0.0258(0.0042)","0.0303(0.0066)","0.0273(0.0035)","0.03(0.003)"
"7011_rbf","0.015(0.0033)","0.0158(0.0036)","0.0141(0.0032)","0.0136(0.0026)","0.0138(0.0022)","0.013(0.0026)"
"7011_lkflag","0.0064(0.0021)","0.013(0.0022)","0.0146(0.0033)","0.0169(0.0029)","0.0169(0.0024)","0.0171(0.0013)"
"7012_rbf","0.0123(0.0043)","0.0123(0.0041)","0.0118(0.0024)","0.0105(0.0025)","0.0096(0.0018)","0.0097(0.0018)"
"7012_lkflag","0.0065(0.003)","0.0108(0.0023)","0.0118(0.0018)","0.0127(0.0017)","0.014(0.002)","0.0137(0.0021)"
"7021_rbf","0.0141(0.0048)","0.0092(0.003)","0.0078(0.0015)","0.0069(0.0016)","0.0067(0.0016)","0.0058(8e-04)"
"7021_lkflag","0.005(0.0045)","0.0094(0.0048)","0.0128(0.0022)","0.013(0.0037)","0.0151(0.0036)","0.0161(0.0035)"
"7022_rbf","0.0126(0.0052)","0.0073(0.0033)","0.0069(0.0026)","0.008(0.0013)","0.0063(0.0011)","0.0064(0.0013)"
"7022_lkflag","0.0042(0.0034)","0.0091(0.0041)","0.0114(0.0036)","0.0136(0.0044)","0.0135(0.0028)","0.0142(0.005)"
"7101_rbf","0.0258(0.0061)","0.0287(0.0087)","0.0208(0.005)","0.0198(0.005)","0.0224(0.0024)","0.0199(0.0037)"
"7101_lkflag","0.0101(0.004)","0.0227(0.0093)","0.0255(0.0051)","0.0268(0.0038)","0.0302(0.0042)","0.0306(0.0034)"
"7102_rbf","0.0281(0.0106)","0.0234(0.0046)","0.0209(0.0037)","0.0198(0.0038)","0.0189(0.0048)","0.0179(0.002)"
"7102_lkflag","0.0113(0.0089)","0.0195(0.0046)","0.0246(0.0055)","0.0266(0.0034)","0.0277(0.0042)","0.0272(0.0043)"
"8101_rbf","0.0056(0.0018)","0.0052(0.0019)","0.0053(0.0031)","0.0041(9e-04)","0.0041(9e-04)","0.0037(0.001)"
"8101_lkflag","0.0042(0.0031)","0.0079(0.0057)","0.0098(0.0062)","0.0087(0.0016)","0.0096(0.0029)","0.0107(0.0026)"
"8102_rbf","0.0128(0.0064)","0.0078(0.0015)","0.0078(0.0024)","0.0064(9e-04)","0.0066(0.0015)","0.0055(0.0012)"
"8102_lkflag","0.0095(0.0085)","0.0126(0.0051)","0.0158(0.0057)","0.0182(0.0041)","0.0187(0.0031)","0.019(0.0037)"
"8111_rbf","0.0077(0.0019)","0.0071(0.001)","0.0064(9e-04)","0.0057(7e-04)","0.0053(4e-04)","0.0049(3e-04)"
"8111_lkflag","0.0026(9e-04)","0.0044(6e-04)","0.0054(0.001)","0.0055(7e-04)","0.0056(5e-04)","0.0058(4e-04)"
"8112_rbf","0.0073(0.0019)","0.0069(0.0017)","0.0065(0.0011)","0.0058(7e-04)","0.0058(0.001)","0.0061(6e-04)"
"8112_lkflag","0.0028(0.001)","0.0041(9e-04)","0.005(7e-04)","0.005(4e-04)","0.0053(7e-04)","0.0054(5e-04)"
"8121_rbf","0.0145(0.0048)","0.0118(0.0032)","0.011(0.0017)","0.0095(0.0018)","0.0085(0.0013)","0.0085(0.0012)"
"8121_lkflag","0.0072(0.0032)","0.0111(0.0029)","0.0135(0.003)","0.0146(0.0021)","0.0134(0.0022)","0.0149(0.0017)"
"8122_rbf","0.0112(0.0057)","0.0097(0.002)","0.0086(0.0014)","0.0074(0.0015)","0.0075(0.0016)","0.0069(0.0013)"
"8122_lkflag","0.0057(0.0036)","0.0094(0.0023)","0.0108(0.0025)","0.0122(0.003)","0.0121(0.0022)","0.0123(0.0017)"
"8201_rbf","0.0234(0.0048)","0.0186(0.0019)","0.0207(0.0018)","0.019(0.0018)","0.018(0.0022)","0.0175(0.0015)"
"8201_lkflag","0.0036(0.0011)","0.0064(7e-04)","0.0081(0.0011)","0.0086(8e-04)","0.0085(0.0011)","0.0087(8e-04)"
"8202_rbf","0.0148(0.0039)","0.0143(0.0023)","0.0149(0.0016)","0.0135(0.0019)","0.0132(0.001)","0.0123(0.0013)"
"8202_lkflag","0.0028(6e-04)","0.0057(0.001)","0.0063(6e-04)","0.0068(7e-04)","0.0073(7e-04)","0.0069(4e-04)"
"8211_rbf","0.0173(0.0058)","0.0132(0.0031)","0.0119(0.0036)","0.0096(0.0018)","0.0094(0.0026)","0.0093(0.0022)"
"8211_lkflag","0.0092(0.0047)","0.0159(0.0056)","0.0172(0.004)","0.018(0.0031)","0.0198(0.0037)","0.0185(0.0032)"
"8212_rbf","0.0107(0.0042)","0.009(0.0024)","0.0078(0.002)","0.0069(0.0021)","0.0066(0.002)","0.0065(0.0011)"
"8212_lkflag","0.0042(0.0025)","0.0082(0.0026)","0.0088(0.0015)","0.0096(0.0014)","0.0097(0.0018)","0.0097(0.001)"
"8301_rbf","0.0102(0.0018)","0.0095(0.0015)","0.0093(0.0012)","0.0086(0.0011)","0.0087(9e-04)","0.0081(8e-04)"
"8301_lkflag","0.0026(7e-04)","0.0053(6e-04)","0.0068(9e-04)","0.0065(8e-04)","0.0072(9e-04)","0.0071(6e-04)"
"8302_rbf","0.0095(0.0031)","0.0099(0.0026)","0.0087(0.0015)","0.0083(0.0013)","0.0078(8e-04)","0.0082(5e-04)"
"8302_lkflag","0.0022(7e-04)","0.0045(6e-04)","0.0049(3e-04)","0.0055(6e-04)","0.0058(4e-04)","0.006(5e-04)"
